text,label
"HDFC Alert: specific transaction of Rs 74 Lakhs debited. If not you, click http://bit.ly/8423",bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/8886,bank
"HDFC Alert: specific transaction of Rs 36 Lakhs debited. If not you, click http://bit.ly/5319",bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/8758,bank
"HDFC Alert: specific transaction of Rs 50 Lakhs debited. If not you, click http://bit.ly/8621",bank
"Dear Customer, your PAN card is linked to account XX2243. Verify immediately.",bank
Your SBI account XX8270 is blocked. Update KYC at http://bit.ly/1349.,bank
"Dear Customer, your PAN card is linked to account XX9539. Verify immediately.",bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/2577,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/4904,bank
"Dear Customer, your PAN card is linked to account XX8369. Verify immediately.",bank
"HDFC Alert: specific transaction of Rs 50 Lakhs debited. If not you, click http://bit.ly/9744",bank
"HDFC Alert: specific transaction of Rs 78 Lakhs debited. If not you, click http://bit.ly/9707",bank
RBI Warning: Your account will be suspended today. Call +91 8424655624 to prevent this.,bank
RBI Warning: Your account will be suspended today. Call +91 9490964963 to prevent this.,bank
"HDFC Alert: specific transaction of Rs 93 Lakhs debited. If not you, click http://bit.ly/5632",bank
Your SBI account XX6421 is blocked. Update KYC at http://bit.ly/2831.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/2162,bank
"Dear Customer, your PAN card is linked to account XX7757. Verify immediately.",bank
RBI Warning: Your account will be suspended today. Call +91 9188652507 to prevent this.,bank
RBI Warning: Your account will be suspended today. Call +91 8210104187 to prevent this.,bank
Your SBI account XX2883 is blocked. Update KYC at http://bit.ly/1313.,bank
RBI Warning: Your account will be suspended today. Call +91 8468467746 to prevent this.,bank
Your SBI account XX6901 is blocked. Update KYC at http://bit.ly/1135.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/3035,bank
"Dear Customer, your PAN card is linked to account XX5519. Verify immediately.",bank
Your SBI account XX3888 is blocked. Update KYC at http://bit.ly/8554.,bank
RBI Warning: Your account will be suspended today. Call +91 9091615090 to prevent this.,bank
"HDFC Alert: specific transaction of Rs 74 Lakhs debited. If not you, click http://bit.ly/2551",bank
RBI Warning: Your account will be suspended today. Call +91 9750300124 to prevent this.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/7863,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/8723,bank
"HDFC Alert: specific transaction of Rs 57 Lakhs debited. If not you, click http://bit.ly/7748",bank
RBI Warning: Your account will be suspended today. Call +91 8936315319 to prevent this.,bank
RBI Warning: Your account will be suspended today. Call +91 9434539844 to prevent this.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/9507,bank
"HDFC Alert: specific transaction of Rs 34 Lakhs debited. If not you, click http://bit.ly/9833",bank
Your SBI account XX8701 is blocked. Update KYC at http://bit.ly/8157.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/9717,bank
RBI Warning: Your account will be suspended today. Call +91 8000332920 to prevent this.,bank
"Dear Customer, your PAN card is linked to account XX6344. Verify immediately.",bank
Your SBI account XX7181 is blocked. Update KYC at http://bit.ly/3954.,bank
"HDFC Alert: specific transaction of Rs 76 Lakhs debited. If not you, click http://bit.ly/9020",bank
"Dear Customer, your PAN card is linked to account XX5706. Verify immediately.",bank
"Dear Customer, your PAN card is linked to account XX1159. Verify immediately.",bank
"HDFC Alert: specific transaction of Rs 10 Lakhs debited. If not you, click http://bit.ly/5493",bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/4264,bank
Your SBI account XX8069 is blocked. Update KYC at http://bit.ly/1391.,bank
"HDFC Alert: specific transaction of Rs 83 Lakhs debited. If not you, click http://bit.ly/9585",bank
"Dear Customer, your PAN card is linked to account XX5735. Verify immediately.",bank
RBI Warning: Your account will be suspended today. Call +91 9222541747 to prevent this.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/8716,bank
"HDFC Alert: specific transaction of Rs 25 Lakhs debited. If not you, click http://bit.ly/6019",bank
RBI Warning: Your account will be suspended today. Call +91 9402304631 to prevent this.,bank
"Dear Customer, your PAN card is linked to account XX7053. Verify immediately.",bank
RBI Warning: Your account will be suspended today. Call +91 8617169534 to prevent this.,bank
ICICI Bank: KYC pending. Your debit card is blocked. Reactivate here: http://bit.ly/3667,bank
